Date,Consumer Sentiment,PCE Total,PCE Durables,PCE Nondurables,PCE Services,Real Disposable Income,Recession Flag,Sentiment_MoM,Spending_MoM,Sentiment_Z,Spending_Z,Divergence_Raw,Divergence_3m,Divergence_6m,High_Divergence_Flag,Event_Label
2018-11-01,97.5,14162.9,1519.6,2976.3,9667.1,15315.2,0,-0.011156186612576,0.0056663660699702,-0.1888044975543305,0.1675794439838129,-0.3563839415381434,0.1269623936926747,0.0722383382787723,0,
2018-12-01,98.3,14051.6,1473.3,2898.7,9679.7,15506.5,0,0.008205128205128,-0.0078585600406695,0.1573543235436799,-1.0875253496025146,1.2448796731461944,0.1857328854829888,0.2404042464705748,0,
2019-01-01,91.2,14084.6,1469.9,2929.4,9685.3,15536.3,0,-0.0722278738555441,0.0023484870050385,-1.2806984860329067,-0.1403176849816156,-1.140380801051291,-0.0839616898144133,0.0472549977350862,0,
2019-02-01,93.8,14117.4,1472.8,2936.4,9708.2,15560.4,0,0.0285087719298244,0.0023287846300212,0.5203609396701954,-0.1421460532201476,0.662506992890343,0.2556686216617488,0.1913155076772117,0,
2019-03-01,98.4,14248.6,1505.1,2976.6,9766.9,15566.5,0,0.0490405117270789,0.0092934959695127,0.8874456604253063,0.5041748594881367,0.3832708009371696,-0.0315343357412594,0.0770992748708647,0,
2019-04-01,97.2,14290.0,1496.6,3002.2,9791.2,15534.2,0,-0.0121951219512195,0.0029055486153024,-0.2073795083636713,-0.0886227114456685,-0.1187567969180028,0.3090069989698367,0.1125226545777116,0,
2019-05-01,100.0,14353.3,1525.5,3011.3,9816.5,15532.4,0,0.0288065843621398,0.0044296710986704,0.5256854954376771,0.052814914108749,0.472870581328928,0.2457948617826983,0.2507317417222235,0,
2019-06-01,98.2,14408.7,1531.5,3016.9,9860.2,15562.1,0,-0.018,0.0038597395720845,-0.3111642854257209,-7.437971676145321e-05,-0.3110899057089594,0.0143412929006553,-0.0085965214203021,0,
2019-07-01,98.4,14496.0,1538.1,3036.2,9921.7,15581.4,0,0.0020366598778003,0.0060588394511649,0.0470689558260034,0.2040007314690661,-0.1569317756430626,0.001616299992302,0.1553116494810693,0,
2019-08-01,89.8,14558.2,1541.0,3040.4,9976.8,15664.3,0,-0.0873983739837399,0.0042908388520972,-1.551930191590504,0.0399313673334891,-1.591861558923993,-0.6866277467586718,-0.2204164424879867,0,
2019-09-01,93.2,14590.6,1553.5,3019.3,10017.8,15697.5,0,0.0378619153674832,0.0022255498619334,0.6875847639003567,-0.1517261759677217,0.8393109398680785,-0.3031607982329924,-0.1444097526661685,0,
2019-10-01,95.5,14617.4,1531.8,3034.0,10051.6,15718.1,0,0.0246781115879828,0.001836799034995,0.4518729841545766,-0.1878020127160839,0.6396749968706605,-0.0376252073950846,-0.0180044537013913,0,
2019-11-01,96.8,14711.0,1557.4,3046.0,10107.6,15766.9,0,0.013612565445026,0.0064033275411496,0.2540333000361731,0.2359690135532951,0.018064286482878,0.4990167410738724,-0.0938055028423996,0,
2019-12-01,99.3,14774.8,1560.4,3061.4,10153.0,15683.8,0,0.0258264462809918,0.0043368907620147,0.4724039340048659,0.0442049561441331,0.4281989778607327,0.3619794204047572,0.0294093110858823,0,
2020-01-01,99.8,14868.3,1551.3,3059.1,10257.9,15842.8,0,0.0050352467270895,0.0063283428540488,0.1006803607581113,0.229010480881398,-0.1283301201232867,0.105977714740108,0.0341762536725116,0,
2020-02-01,101.0,14828.1,1551.9,3054.1,10222.2,15900.3,0,0.0120240480961923,-0.0027037388269001,0.2256323728293495,-0.6091611232432457,0.8347934960725951,0.3782207846033471,0.4386187628386097,0,
2020-03-01,89.1,13812.8,1350.9,3128.7,9333.2,15702.3,1,-0.1178217821782179,-0.0684713483183955,-2.095866965179565,-6.712354683062594,4.616487717883029,1.7743170312774457,1.0681482258411017,1,COVID-19 Pandemic
2020-04-01,71.8,12249.2,1186.0,2730.6,8332.6,18015.3,1,-0.1941638608305275,-0.1131993513263059,-3.4607786044598976,-10.863085749800849,7.402307145340951,4.284529453098858,2.195253583919483,1,COVID-19 Pandemic
2020-05-01,72.3,13281.5,1541.4,2960.2,8779.9,17110.0,0,0.0069637883008355,0.0842748914214805,0.1351605437359728,7.462402068398545,-7.327241524662572,1.563851112853803,0.9710359487285748,1,COVID-19 Pandemic
2020-06-01,78.1,14049.2,1674.1,3105.7,9269.4,17050.2,0,0.0802213001383125,0.0578022060761209,1.4449235517237575,5.005753211002934,-3.560829659279176,-1.1619213462002655,0.30619784253859,1,COVID-19 Pandemic
2020-07-01,72.5,14307.2,1737.0,3144.2,9426.1,17202.9,0,-0.0717029449423815,0.0183640349628448,-1.2713133396494336,1.345915278460692,-2.6172286181101256,-4.501766600683958,-0.1086185737925498,1,COVID-19 Pandemic
2020-08-01,74.1,14462.2,1760.4,3135.1,9566.7,16542.0,0,0.0220689655172412,0.0108337061060166,0.4052243481283424,0.6471054093220081,-0.2418810611936657,-2.139979779527656,-0.2880643333369265,1,COVID-19 Pandemic
2020-09-01,80.4,14668.1,1765.8,3191.8,9710.5,16633.7,0,0.08502024291498,0.0142371146851791,1.5307233225414412,0.9629396244072442,0.5677836981341969,-0.7637753270565315,-0.9628483366283984,1,COVID-19 Pandemic
2020-10-01,81.8,14725.8,1773.4,3170.1,9782.3,16573.6,0,0.0174129353233829,0.003933706478685,0.3219796956820654,0.0067897035530224,0.3151899921290429,0.2136975430231914,-2.1440345288303835,1,
2020-11-01,76.9,14701.6,1764.6,3163.4,9773.7,16381.8,0,-0.0599022004889974,-0.0016433742139645,-1.0603291256885596,-0.5107599417685628,-0.5495691839199969,0.1111348354477476,-1.0144224720399542,1,
2020-12-01,80.7,14822.0,1803.7,3200.2,9818.2,16397.7,0,0.0494148244473342,0.0081895848070958,0.8941379564385449,0.4017325851046211,0.4924053713339237,0.0860087265143232,-0.3388833002711041,0,
